Plot Title: 9768614_22,,
#,"Date Time, GMT-10:00","Temp, ¡C (LGR S/N: 9768614, SEN S/N: 9768614)"
1,10/03/16 01:00:00 PM,38.268
2,10/03/16 01:15:00 PM,35.222
3,10/03/16 01:30:00 PM,28.754
4,10/03/16 01:45:00 PM,28.258
5,10/03/16 02:00:00 PM,28.258
6,10/03/16 02:15:00 PM,28.060
7,10/03/16 02:30:00 PM,28.060
8,10/03/16 02:45:00 PM,28.060
9,10/03/16 03:00:00 PM,28.258
10,10/03/16 03:15:00 PM,28.258
11,10/03/16 03:30:00 PM,28.258
12,10/03/16 03:45:00 PM,28.159
13,10/03/16 04:00:00 PM,28.060
14,10/03/16 04:15:00 PM,27.961
15,10/03/16 04:30:00 PM,27.961
16,10/03/16 04:45:00 PM,27.961
17,10/03/16 05:00:00 PM,27.961
18,10/03/16 05:15:00 PM,27.862
19,10/03/16 05:30:00 PM,27.862
20,10/03/16 05:45:00 PM,27.862
21,10/03/16 06:00:00 PM,27.862
22,10/03/16 06:15:00 PM,27.961
23,10/03/16 06:30:00 PM,27.961
24,10/03/16 06:45:00 PM,27.961
25,10/03/16 07:00:00 PM,27.862
26,10/03/16 07:15:00 PM,27.862
27,10/03/16 07:30:00 PM,27.764
28,10/03/16 07:45:00 PM,27.764
29,10/03/16 08:00:00 PM,27.764
30,10/03/16 08:15:00 PM,27.665
31,10/03/16 08:30:00 PM,27.665
32,10/03/16 08:45:00 PM,27.665
33,10/03/16 09:00:00 PM,27.665
34,10/03/16 09:15:00 PM,27.567
35,10/03/16 09:30:00 PM,27.567
36,10/03/16 09:45:00 PM,27.567
37,10/03/16 10:00:00 PM,27.567
38,10/03/16 10:15:00 PM,27.468
39,10/03/16 10:30:00 PM,27.370
40,10/03/16 10:45:00 PM,27.567
41,10/03/16 11:00:00 PM,27.665
42,10/03/16 11:15:00 PM,27.665
43,10/03/16 11:30:00 PM,27.665
44,10/03/16 11:45:00 PM,27.665
45,10/04/16 12:00:00 AM,27.665
46,10/04/16 12:15:00 AM,27.665
47,10/04/16 12:30:00 AM,27.567
48,10/04/16 12:45:00 AM,27.567
49,10/04/16 01:00:00 AM,27.567
50,10/04/16 01:15:00 AM,27.567
51,10/04/16 01:30:00 AM,27.567
52,10/04/16 01:45:00 AM,27.567
53,10/04/16 02:00:00 AM,27.567
54,10/04/16 02:15:00 AM,27.567
55,10/04/16 02:30:00 AM,27.665
56,10/04/16 02:45:00 AM,27.665
57,10/04/16 03:00:00 AM,27.665
58,10/04/16 03:15:00 AM,27.567
59,10/04/16 03:30:00 AM,27.567
60,10/04/16 03:45:00 AM,27.567
61,10/04/16 04:00:00 AM,27.567
62,10/04/16 04:15:00 AM,27.567
63,10/04/16 04:30:00 AM,27.567
64,10/04/16 04:45:00 AM,27.567
65,10/04/16 05:00:00 AM,27.468
66,10/04/16 05:15:00 AM,27.468
67,10/04/16 05:30:00 AM,27.468
68,10/04/16 05:45:00 AM,27.468
69,10/04/16 06:00:00 AM,27.468
70,10/04/16 06:15:00 AM,27.468
71,10/04/16 06:30:00 AM,27.468
72,10/04/16 06:45:00 AM,27.468
73,10/04/16 07:00:00 AM,27.468
74,10/04/16 07:15:00 AM,27.567
75,10/04/16 07:30:00 AM,27.468
76,10/04/16 07:45:00 AM,27.468
77,10/04/16 08:00:00 AM,27.468
78,10/04/16 08:15:00 AM,27.468
79,10/04/16 08:30:00 AM,27.665
80,10/04/16 08:45:00 AM,27.665
81,10/04/16 09:00:00 AM,27.764
82,10/04/16 09:15:00 AM,27.665
83,10/04/16 09:30:00 AM,27.764
84,10/04/16 09:45:00 AM,27.862
85,10/04/16 10:00:00 AM,28.159
86,10/04/16 10:15:00 AM,28.060
87,10/04/16 10:30:00 AM,28.357
88,10/04/16 10:45:00 AM,28.357
89,10/04/16 11:00:00 AM,28.456
90,10/04/16 11:15:00 AM,28.555
91,10/04/16 11:30:00 AM,28.357
92,10/04/16 11:45:00 AM,28.258
93,10/04/16 12:00:00 PM,28.357
94,10/04/16 12:15:00 PM,28.159
95,10/04/16 12:30:00 PM,28.258
96,10/04/16 12:45:00 PM,28.357
97,10/04/16 01:00:00 PM,28.357
98,10/04/16 01:15:00 PM,28.258
99,10/04/16 01:30:00 PM,28.159
100,10/04/16 01:45:00 PM,28.159
101,10/04/16 02:00:00 PM,28.060
102,10/04/16 02:15:00 PM,28.159
103,10/04/16 02:30:00 PM,28.159
104,10/04/16 02:45:00 PM,28.357
105,10/04/16 03:00:00 PM,28.159
106,10/04/16 03:15:00 PM,28.159
107,10/04/16 03:30:00 PM,28.060
108,10/04/16 03:45:00 PM,28.060
109,10/04/16 04:00:00 PM,28.159
110,10/04/16 04:15:00 PM,28.159
111,10/04/16 04:30:00 PM,28.060
112,10/04/16 04:45:00 PM,28.060
113,10/04/16 05:00:00 PM,28.060
114,10/04/16 05:15:00 PM,28.060
115,10/04/16 05:30:00 PM,28.060
116,10/04/16 05:45:00 PM,27.961
117,10/04/16 06:00:00 PM,27.961
118,10/04/16 06:15:00 PM,27.862
119,10/04/16 06:30:00 PM,27.862
120,10/04/16 06:45:00 PM,27.862
121,10/04/16 07:00:00 PM,27.862
122,10/04/16 07:15:00 PM,27.862
123,10/04/16 07:30:00 PM,27.862
124,10/04/16 07:45:00 PM,27.862
125,10/04/16 08:00:00 PM,27.862
126,10/04/16 08:15:00 PM,27.862
127,10/04/16 08:30:00 PM,27.862
128,10/04/16 08:45:00 PM,27.862
129,10/04/16 09:00:00 PM,27.764
130,10/04/16 09:15:00 PM,27.764
131,10/04/16 09:30:00 PM,27.665
132,10/04/16 09:45:00 PM,27.567
133,10/04/16 10:00:00 PM,27.468
134,10/04/16 10:15:00 PM,27.370
135,10/04/16 10:30:00 PM,27.173
136,10/04/16 10:45:00 PM,27.173
137,10/04/16 11:00:00 PM,27.173
138,10/04/16 11:15:00 PM,27.075
139,10/04/16 11:30:00 PM,27.075
140,10/04/16 11:45:00 PM,27.075
141,10/05/16 12:00:00 AM,27.075
142,10/05/16 12:15:00 AM,27.075
143,10/05/16 12:30:00 AM,27.173
144,10/05/16 12:45:00 AM,27.272
145,10/05/16 01:00:00 AM,27.370
146,10/05/16 01:15:00 AM,27.370
147,10/05/16 01:30:00 AM,27.370
148,10/05/16 01:45:00 AM,27.468
149,10/05/16 02:00:00 AM,27.468
150,10/05/16 02:15:00 AM,27.567
151,10/05/16 02:30:00 AM,27.567
152,10/05/16 02:45:00 AM,27.567
153,10/05/16 03:00:00 AM,27.665
154,10/05/16 03:15:00 AM,27.665
155,10/05/16 03:30:00 AM,27.665
156,10/05/16 03:45:00 AM,27.665
157,10/05/16 04:00:00 AM,27.665
158,10/05/16 04:15:00 AM,27.665
159,10/05/16 04:30:00 AM,27.665
160,10/05/16 04:45:00 AM,27.567
161,10/05/16 05:00:00 AM,27.567
162,10/05/16 05:15:00 AM,27.567
163,10/05/16 05:30:00 AM,27.567
164,10/05/16 05:45:00 AM,27.567
165,10/05/16 06:00:00 AM,27.567
166,10/05/16 06:15:00 AM,27.567
167,10/05/16 06:30:00 AM,27.567
168,10/05/16 06:45:00 AM,27.567
169,10/05/16 07:00:00 AM,27.567
170,10/05/16 07:15:00 AM,27.665
171,10/05/16 07:30:00 AM,27.665
172,10/05/16 07:45:00 AM,27.764
173,10/05/16 08:00:00 AM,27.764
174,10/05/16 08:15:00 AM,27.764
175,10/05/16 08:30:00 AM,27.764
176,10/05/16 08:45:00 AM,28.060
177,10/05/16 09:00:00 AM,28.258
178,10/05/16 09:15:00 AM,28.357
179,10/05/16 09:30:00 AM,27.961
180,10/05/16 09:45:00 AM,27.862
181,10/05/16 10:00:00 AM,27.764
182,10/05/16 10:15:00 AM,28.357
183,10/05/16 10:30:00 AM,28.060
184,10/05/16 10:45:00 AM,28.060
185,10/05/16 11:00:00 AM,28.655
186,10/05/16 11:15:00 AM,28.258
